Date,Max Temp,Min Temp,Avg Temp,Max Wind,Min Wind,Avg Wind,Max Soil,Min Soil,Avg Soil
2025-07-22,31.2,26.6,28.520833333333332,10.7,4.1,6.887499999999999,34.1,26.7,28.933333333333334
2025-07-23,30.8,26.5,28.262500000000006,8.1,2.9,5.233333333333334,31.7,26.7,28.633333333333336
2025-07-24,29.0,26.4,27.625,7.2,1.5,3.2499999999999987,30.3,26.4,27.974999999999998
2025-07-25,31.7,26.3,29.095833333333335,4.5,1.1,3.341666666666667,34.7,26.4,30.058333333333334
2025-07-26,31.2,27.1,29.15833333333333,8.8,1.5,5.208333333333332,33.0,27.0,29.662499999999998
2025-07-27,33.9,27.9,30.908333333333328,5.3,1.9,3.908333333333333,37.2,27.6,31.670833333333334
2025-07-28,32.7,27.5,29.57916666666667,6.8,3.6,5.879166666666666,35.2,27.4,30.354166666666668
